longitude,latitude,aver_price,latlon
113.364302,23.128054,55.6,"113.364302,23.128054"
113.280019,23.07161,62.3,"113.280019,23.07161"
113.299804,23.076164,48.1,"113.299804,23.076164"
113.230765,23.136981,38.5,"113.230765,23.136981"
113.333163,23.033833,43.1,"113.333163,23.033833"
113.280769,23.145651,66.7,"113.280769,23.145651"
113.525418,23.116857,27.8,"113.525418,23.116857"
113.358643,22.917682,27.3,"113.358643,22.917682"
113.259645,23.131182,40.0,"113.259645,23.131182"
113.456489,23.101372,72.0,"113.456489,23.101372"
113.25964,23.201452,43.8,"113.25964,23.201452"
113.297886,23.092267,52.4,"113.297886,23.092267"
113.600308,23.130957,27.7,"113.600308,23.130957"
113.373425,22.94044,21.2,"113.373425,22.94044"
113.328222,23.066002,77.6,"113.328222,23.066002"
113.24986,23.135833,53.1,"113.24986,23.135833"
113.314271,23.089791,56.3,"113.314271,23.089791"
113.380654,23.139773,72.0,"113.380654,23.139773"
113.30426,23.129965,72.4,"113.30426,23.129965"
113.268579,23.09334,58.1,"113.268579,23.09334"
113.207353,23.080473,33.0,"113.207353,23.080473"
113.219983,23.117198,50.0,"113.219983,23.117198"
113.368924,23.463734,23.8,"113.368924,23.463734"
113.29996,23.338868,34.0,"113.29996,23.338868"
113.261671,23.181841,38.5,"113.261671,23.181841"
113.339286,23.046102,32.5,"113.339286,23.046102"
113.357312,22.975743,37.5,"113.357312,22.975743"
113.275892,23.124829,139.3,"113.275892,23.124829"
113.385199,23.177817,32.2,"113.385199,23.177817"
113.489899,22.954772,32.8,"113.489899,22.954772"
113.287547,23.168025,43.3,"113.287547,23.168025"
113.362067,22.929796,38.0,"113.362067,22.929796"
113.58388,23.132528,35.0,"113.58388,23.132528"
113.344472,22.970091,25.0,"113.344472,22.970091"
113.34253,23.181239,69.4,"113.34253,23.181239"
113.351549,23.037188,43.7,"113.351549,23.037188"
113.29984,23.230962,76.9,"113.29984,23.230962"
113.33896674177,22.975204690219,43.1,"113.33896674177,22.975204690219"
113.436953,23.114123,33.3,"113.436953,23.114123"
113.333863,23.149326,104.7,"113.333863,23.149326"
113.272823,23.127103,107.7,"113.272823,23.127103"
113.344472,22.970091,28.6,"113.344472,22.970091"
113.312016,23.077565,53.3,"113.312016,23.077565"
113.214074,23.182507,38.5,"113.214074,23.182507"
113.455669,23.106815,70.3,"113.455669,23.106815"
113.303081,23.223096,83.7,"113.303081,23.223096"
113.202739,23.07564,22.6,"113.202739,23.07564"
113.33632,23.121668,155.4,"113.33632,23.121668"
113.382327,22.919779,48.1,"113.382327,22.919779"
113.683816,23.27982,26.1,"113.683816,23.27982"
113.314334,23.440187,30.0,"113.314334,23.440187"
113.289334,23.115558,76.9,"113.289334,23.115558"
113.552439,22.798052,24.4,"113.552439,22.798052"
