longitude,latitude,dist,latlon
116.379698,39.848129,丰台,"116.379698,39.848129"
116.612765,39.905006,朝阳,"116.612765,39.905006"
116.233846,39.905003,石景山,"116.233846,39.905003"
116.27885,40.019924,海淀,"116.27885,40.019924"
116.381113,40.01678,朝阳,"116.381113,40.01678"
116.640671,39.901842,朝阳,"116.640671,39.901842"
116.497855,39.809567,亦庄开发区,"116.497855,39.809567"
116.692994,39.910567,通州,"116.692994,39.910567"
116.340795,39.960325,海淀,"116.340795,39.960325"
116.362306,40.035119,海淀,"116.362306,40.035119"
116.348013,39.916205,西城,"116.348013,39.916205"
116.375715,39.838257,丰台,"116.375715,39.838257"
116.411174,40.009768,朝阳,"116.411174,40.009768"
116.675955,40.037646,顺义,"116.675955,40.037646"
116.429248,39.940483,东城,"116.429248,39.940483"
116.465491,39.901678,朝阳,"116.465491,39.901678"
116.548519,40.093258,顺义,"116.548519,40.093258"
116.47773,40.002156,朝阳,"116.47773,40.002156"
116.417395,39.981069,朝阳,"116.417395,39.981069"
116.453086,39.898397,朝阳,"116.453086,39.898397"
116.685959,39.937078,通州,"116.685959,39.937078"
116.145449,39.752604,房山,"116.145449,39.752604"
116.350008,39.898877,西城,"116.350008,39.898877"
116.351995,39.801868,大兴,"116.351995,39.801868"
116.618165,40.128397,顺义,"116.618165,40.128397"
116.655952,39.893658,通州,"116.655952,39.893658"
116.539213,39.809112,通州,"116.539213,39.809112"
116.416637,40.111858,昌平,"116.416637,40.111858"
116.432809,39.96858,朝阳,"116.432809,39.96858"
116.445474,40.05627,朝阳,"116.445474,40.05627"
116.220283,40.043636,海淀,"116.220283,40.043636"
116.470683,39.87738,朝阳,"116.470683,39.87738"
116.348786,39.799417,大兴,"116.348786,39.799417"
116.438842,39.89084,朝阳,"116.438842,39.89084"
116.472485,39.938198,朝阳,"116.472485,39.938198"
116.329938,39.694097,大兴,"116.329938,39.694097"
116.422099,40.050196,朝阳,"116.422099,40.050196"
116.415714,39.993021,朝阳,"116.415714,39.993021"
116.567799,39.909436,朝阳,"116.567799,39.909436"
116.414421,40.053513,朝阳,"116.414421,40.053513"
116.347678,39.968942,海淀,"116.347678,39.968942"
116.419576,39.948631,东城,"116.419576,39.948631"
116.249967,40.227856,昌平,"116.249967,40.227856"
116.387118,39.960732,西城,"116.387118,39.960732"
116.28512,39.888524,丰台,"116.28512,39.888524"
116.11415,39.891953,门头沟,"116.11415,39.891953"
116.383332,39.962892,西城,"116.383332,39.962892"
116.358132,40.09707,昌平,"116.358132,40.09707"
116.594801,39.928019,朝阳,"116.594801,39.928019"
116.429964,39.871012,朝阳,"116.429964,39.871012"
116.267545,39.925742,海淀,"116.267545,39.925742"
116.476447,39.903804,朝阳,"116.476447,39.903804"
116.212774,39.767185,房山,"116.212774,39.767185"
116.45831,39.923422,朝阳,"116.45831,39.923422"
116.347204,39.741827,大兴,"116.347204,39.741827"
116.469531,39.88522,朝阳,"116.469531,39.88522"
116.446995,39.961109,朝阳,"116.446995,39.961109"
116.70268,39.917501,通州,"116.70268,39.917501"
116.497474,39.810115,亦庄开发区,"116.497474,39.810115"
116.131369,39.908921,门头沟,"116.131369,39.908921"
116.121338,39.964122,门头沟,"116.121338,39.964122"
116.490525,39.97146,朝阳,"116.490525,39.97146"
116.622063,39.931519,朝阳,"116.622063,39.931519"
116.397236,39.864463,丰台,"116.397236,39.864463"
116.257104,39.873962,丰台,"116.257104,39.873962"
116.529466,39.928033,朝阳,"116.529466,39.928033"
